drug_code,drug_name,drug_group,route,strength,is_bhyt_covered,is_active,source_ref,therapeutic_purpose,side_effects,drug_interactions,max_duration_days,max_quantity_per_rx,requires_monitoring_cls,contraindicated_icd
MED-URO-FOSFOMYCIN,Fosfomycin trometamol,Kháng sinh đường tiết niệu,Uống,3g (gói),TRUE,TRUE,FORMULARY-URO-2026,Điều trị viêm bàng quang cấp đơn thuần ở phụ nữ liều duy nhất,Rối loạn tiêu hóa tiêu chảy,Thuốc tăng nhu động ruột (Metoclopramide) giảm khả năng hấp thu,10,90,,
MED-URO-ROWATINEX,Rowatinex (Terpenes),Thuốc hỗ trợ điều trị sỏi tiết niệu,Uống,viên,TRUE,TRUE,FORMULARY-URO-2026,Tăng lưu lượng máu qua thận tăng bài niệu hỗ trợ tống xuất sỏi nhỏ,Chóng mặt rối loạn tiêu hóa nhẹ,Thuốc chống đông máu uống (tăng nhẹ nguy cơ chảy máu),30,90,,
MED-URO-TAMSULOSIN,Tamsulosin,Thuốc chẹn alpha-1,Uống,0.4mg,TRUE,TRUE,FORMULARY-URO-2026,Làm giãn cơ trơn tuyến tiền liệt và cổ bàng quang giúp dễ tiểu trong phì đại tuyến tiền liệt,Chóng mặt hạ huyết áp tư thế xuất tinh ngược,Thuốc hạ huyết áp mạnh (tương tác hiệp đồng hạ áp),30,90,,
MED-MSK-EPERISONE,Eperisone,Thuốc giãn cơ,Uống,50mg,TRUE,TRUE,FORMULARY-MSK-2026,Giảm trương lực cơ vân và giãn mạch cải thiện đau do co thắt cơ,Buồn ngủ chóng mặt buồn nôn yếu cơ,Thuốc giảm đau nhạy cảm trung ương (tăng an thần),30,90,,
MED-MSK-ALENDRONATE,Alendronate,Thuốc nhóm Bisphosphonate,Uống,70mg,TRUE,TRUE,FORMULARY-MSK-2026,Ức chế tế bào hủy xương giúp điều trị loãng xương ở phụ nữ mãn kinh và nam giới,Viêm loét thực quản đau cơ xương khớp,Thuốc bổ sung Canxi và Antacid (giảm hấp thu cần uống cách nhau 2 giờ),30,90,,
MED-MSK-CALCIUM-D3,Calcium + Vitamin D3,Khoáng chất và Vitamin,Uống,viên,TRUE,TRUE,FORMULARY-MSK-2026,Bổ sung Canxi ngăn ngừa mất xương và phối hợp điều trị loãng xương,Táo bón sỏi thận (nếu dùng liều cao kéo dài),Kháng sinh Quinolone/Tetracycline (giảm hấp thu),30,90,,
MED-DERM-CORTICOID,Betamethasone dipropionate 0.05%,Thuốc Corticosteroid bôi ngoài da,Bôi,15g,TRUE,TRUE,FORMULARY-DERM-2026,Chống viêm và chống ngứa trong các bệnh lý viêm da chàm,Hấp thu toàn thân nếu bôi diện rộng hoặc bôi lâu ngày,Thận trọng dùng chung với corticoid toàn thân,30,90,,
MED-DERM-ANTIHIST,Levocetirizine,Thuốc kháng Histamin thế hệ 2,Uống,5mg,TRUE,TRUE,FORMULARY-DERM-2026,Giảm triệu chứng ngứa và mề đay do đáp ứng dị ứng,Đôi khi buồn ngủ (ít hơn thế hệ 1) khô miệng,Rượu và thuốc ức chế CNS (tăng an thần),30,90,,
MED-DERM-ITRACONAZOLE,Itraconazole,Thuốc kháng nấm đường uống,Uống,100mg,TRUE,TRUE,FORMULARY-DERM-2026,Tiêu diệt vi nấm gây bệnh nấm biểu bì kéo dài,Rối loạn tiêu hóa nhức đầu tăng men gan,Thuốc ức chế CYP3A4 (có rất nhiều tương tác nguy hiểm),30,90,,
MED-DERM-ACYCLOVIR,Acyclovir,Thuốc kháng virus nhóm Herpes,Uống,400mg,TRUE,TRUE,FORMULARY-DERM-2026,Rút ngắn thời gian bài xuất virus và giảm đau thần kinh sau Zona,Buồn nôn tiêu chảy tăng creatinine huyết,Thuốc gây độc thận khác (suy thận),30,90,,
MED-GI-REBAMIPIDE,Rebamipide,Thuốc bảo vệ niêm mạc dạ dày,Uống,100mg,TRUE,TRUE,FORMULARY-GI-2026,Kích thích tổng hợp prostaglandin bảo vệ niêm mạc dạ dày trong viêm loét,Hiếm gặp buồn nôn hoặc phát ban biểu bì,Chưa ghi nhận tương tác đáng kể,30,90,,
MED-PSYCH-ROTUNDA,Rotundin (Tetrahydropalmatin),Thuốc an thần thảo dược,Uống,30mg,TRUE,TRUE,FORMULARY-PSYCH-2026,Giúp an thần nhẹ điều trị mất ngủ căng thẳng,Buồn ngủ ngày hôm sau mệt mỏi,Tăng tác dụng thuốc ức chế thần kinh khác,30,90,,
MED-PSYCH-DIAZEPAM,Diazepam,Thuốc bình thần nhóm Benzodiazepine,Uống,5mg,TRUE,FALSE,FORMULARY-PSYCH-2026,Giải lo âu mạnh và an thần trong mất ngủ nặng rối loạn lo âu,Gây nghiện lú lẫn (đặc biệt ở người cao tuổi),Rượu và thuốc ức chế trung ương (nguy cơ suy hô hấp tử vong),30,90,,
MED-CARDIO-ASPIRIN,Aspirin,Kháng kết tập tiểu cầu,Uống,81mg,TRUE,TRUE,FORMULARY-CARDIO-2026,Phòng ngừa huyết khối do xơ vữa.,"Dạ dày tá tràng, Chảy máu.",NSAID tăng viêm loét.,30,30,,K25.9|K26.9
MED-BB-BISOPROLOL,Bisoprolol,Chẹn Beta,Uống,2.5mg,TRUE,TRUE,FORMULARY-CARDIO-2026,"Kiểm soát nhịp tim, giảm tải cho tim ở bệnh nhân THA và Suy tim/Mạch vành.","Nhịp tim quá chậm, Mệt mỏi.",Thuốc hen suyễn/COPD.,30,30,CLS-TDCN-ECG-12,J44.9|J45.9
MED-VASC-DIOSMIN,Diosmin/Hesperidin (Daflon),Bền vững thành mạch,Uống,500mg,TRUE,TRUE,FORMULARY-CARDIO-2026,Điều trị triệu chứng của bệnh giãn tĩnh mạch vô căn hoặc trĩ.,Rối loạn tiêu hóa nhẹ.,Không rõ ràng.,30,60,,
MED-ENDOC-LEVOTHYROXINE,Levothyroxine,Hormon tuyến giáp,Uống,50mcg,TRUE,TRUE,FORMULARY-ENDOC-2026,Thay thế hormon trong Suy giáp,Cường giáp do quá liều,Sắt/Canxi làm giảm hấp thu,30,30,CLS-XN-TSH,
MED-ENDOC-THIAMAZOLE,Thiamazole,Kháng giáp tổng hợp,Uống,5mg,TRUE,TRUE,FORMULARY-ENDOC-2026,Ức chế tổng hợp hormon trong Cường giáp,"Viêm gan, Giảm bạch cầu hạt",Thuốc ngừa thai,30,90,CLS-XN-AST-ALT,
MED-DERM-CORTICOID-MILD,Hydrocortisone 1% (Tuýp 15g),Thuốc da liễu,Bôi ngoài da,Tuýp,FALSE,TRUE,FORMULARY-DERM-2026,Chống viêm/giảm ngứa cho tổn thương da dạng nhẹ-vừa,Teo da nếu bôi kéo dài,,14,2,,
MED-DERM-CORTICOID-HIGH,Betamethasone dipropionate 0.05% (Tuýp 15g),Thuốc da liễu,Bôi ngoài da,Tuýp,FALSE,TRUE,FORMULARY-DERM-2026,"Chống viêm, ức chế miễn dịch tại chỗ mạnh (Vảy nến, chàm nang lông)",Nguy cơ teo da/dội ngược/tác dụng toàn thân,,7,1,,
MED-DERM-ANTIFUNGAL,Ketoconazole 2% (Tuýp 15g),Thuốc da liễu,Bôi ngoài da,Tuýp,FALSE,TRUE,FORMULARY-DERM-2026,Kháng nấm da (nhóm azole),Kích ứng nhẹ,,30,2,,
